[migrater] timestamp=1778169266.91, migrating=True, epoch=1, total_epochs=5, configured=1000000 B/s, rate=1000169 B/s, pending=109846528 bytes ([18.16%] 24371200/134217728 bytes copied)
[migrater] timestamp=1778169267.42, migrating=True, epoch=1, total_epochs=5, configured=1000000 B/s, rate=999930 B/s, pending=109338624 bytes ([18.54%] 24879104/134217728 bytes copied)
[migrater] timestamp=1778169267.93, migrating=True, epoch=1, total_epochs=5, configured=1000000 B/s, rate=999982 B/s, pending=108830720 bytes ([18.91%] 25387008/134217728 bytes copied)
[migrater] timestamp=1778169268.44, migrating=True, epoch=1, total_epochs=5, configured=1000000 B/s, rate=1000064 B/s, pending=108322816 bytes ([19.29%] 25894912/134217728 bytes copied)
[migrater] timestamp=1778169268.95, migrating=True, epoch=1, total_epochs=5, configured=1000000 B/s, rate=1000038 B/s, pending=107814912 bytes ([19.67%] 26402816/134217728 bytes copied)
[migrater] timestamp=1778169269.45, migrating=True, epoch=1, total_epochs=5, configured=1000000 B/s, rate=1000114 B/s, pending=107307008 bytes ([20.05%] 26910720/134217728 bytes copied)
[migrater] timestamp=1778169269.96, migrating=True, epoch=1, total_epochs=5, configured=1000000 B/s, rate=999954 B/s, pending=106799104 bytes ([20.43%] 27418624/134217728 bytes copied)
[migrater] timestamp=1778169270.47, migrating=True, epoch=1, total_epochs=5, configured=1000000 B/s, rate=1000288 B/s, pending=106291200 bytes ([20.81%] 27926528/134217728 bytes copied)
[migrater] timestamp=1778169270.98, migrating=True, epoch=1, total_epochs=5, configured=1000000 B/s, rate=1000048 B/s, pending=105783296 bytes ([21.19%] 28434432/134217728 bytes copied)
[migrater] timestamp=1778169271.48, migrating=True, epoch=1, total_epochs=5, configured=1000000 B/s, rate=1000014 B/s, pending=105275392 bytes ([21.56%] 28942336/134217728 bytes copied)
[migrater] timestamp=1778169271.99, migrating=True, epoch=1, total_epochs=5, configured=1000000 B/s, rate=999950 B/s, pending=104767488 bytes ([21.94%] 29450240/134217728 bytes copied)
[migrater] timestamp=1778169272.50, migrating=True, epoch=1, total_epochs=5, configured=1000000 B/s, rate=1000001 B/s, pending=104259584 bytes ([22.32%] 29958144/134217728 bytes copied)
[migrater] timestamp=1778169273.01, migrating=True, epoch=1, total_epochs=5, configured=1000000 B/s, rate=999644 B/s, pending=103751680 bytes ([22.70%] 30466048/134217728 bytes copied)
[migrater] timestamp=1778169273.52, migrating=True, epoch=1, total_epochs=5, configured=1000000 B/s, rate=999780 B/s, pending=103243776 bytes ([23.08%] 30973952/134217728 bytes copied)
[migrater] timestamp=1778169274.02, migrating=True, epoch=1, total_epochs=5, configured=1000000 B/s, rate=1000300 B/s, pending=102735872 bytes ([23.46%] 31481856/134217728 bytes copied)
[migrater] timestamp=1778169274.53, migrating=True, epoch=1, total_epochs=5, configured=1000000 B/s, rate=1000005 B/s, pending=102227968 bytes ([23.83%] 31989760/134217728 bytes copied)
[migrater] timestamp=1778169275.04, migrating=True, epoch=1, total_epochs=5, configured=1000000 B/s, rate=1000023 B/s, pending=101720064 bytes ([24.21%] 32497664/134217728 bytes copied)
[migrater] migrating=True, pending=101720064, epoch=1, total_epochs=5
[migrater] timestamp=1778169275.55, migrating=True, epoch=1, total_epochs=5, configured=1000000 B/s, rate=999692 B/s, pending=101212160 bytes ([24.59%] 33005568/134217728 bytes copied)
[migrater] timestamp=1778169276.05, migrating=True, epoch=1, total_epochs=5, configured=1000000 B/s, rate=999414 B/s, pending=100712448 bytes ([24.96%] 33505280/134217728 bytes copied)
[migrater] timestamp=1778169276.56, migrating=True, epoch=1, total_epochs=5, configured=1000000 B/s, rate=1000936 B/s, pending=100204544 bytes ([25.34%] 34013184/134217728 bytes copied)
[migrater] timestamp=1778169277.06, migrating=True, epoch=1, total_epochs=5, configured=1000000 B/s, rate=999850 B/s, pending=99696640 bytes ([25.72%] 34521088/134217728 bytes copied)
[migrater] timestamp=1778169277.57, migrating=True, epoch=1, total_epochs=5, configured=1000000 B/s, rate=1000023 B/s, pending=99188736 bytes ([26.10%] 35028992/134217728 bytes copied)
[migrater] timestamp=1778169278.08, migrating=True, epoch=1, total_epochs=5, configured=1000000 B/s, rate=1000101 B/s, pending=98680832 bytes ([26.48%] 35536896/134217728 bytes copied)
[migrater] timestamp=1778169278.59, migrating=True, epoch=1, total_epochs=5, configured=1000000 B/s, rate=999934 B/s, pending=98172928 bytes ([26.86%] 36044800/134217728 bytes copied)
[migrater] timestamp=1778169279.10, migrating=True, epoch=1, total_epochs=5, configured=1000000 B/s, rate=999598 B/s, pending=97665024 bytes ([27.23%] 36552704/134217728 bytes copied)
[migrater] timestamp=1778169279.60, migrating=True, epoch=1, total_epochs=5, configured=1000000 B/s, rate=1000501 B/s, pending=97157120 bytes ([27.61%] 37060608/134217728 bytes copied)
